nct_id,title,sponsor_name,sponsor_class,collaborators,n_collaborators,phase,study_type,enrollment,start_date,overall_status,conditions,n_sites,sponsor_clean,sponsor_final,sponsor_trial_count,phase_simple,complex_ta,c_sites,c_enroll,c_smallspon,c_latephase,c_complex,outsourcing_score,known_cro
NCT01079182,Basic Documentation of Adalimumab (Humira) in Patients With Ankylosing Spondylitis (AS),"AbbVie (prior sponsor, Abbott)",INDUSTRY,,0,,OBSERVATIONAL,4681.0,2006-01,COMPLETED,Ankylosing Spondylitis,0,abbvie prior sponsor abbott,abbvie prior sponsor abbott,9,NA,0,0.03475,0.984,0.34424999999999994,0.4,0.0,0.29105,0
NCT07497724,Odevixibat Outcomes in Patients With PFIC Versus an External Control Cohort (OvEC-PFIC),Ipsen,INDUSTRY,Erasmus Medical Center; University Medical Center Groningen,2,,OBSERVATIONAL,200.0,2026-04-26,ACTIVE_NOT_RECRUITING,PFIC - Progressive Familial Intrahepatic Cholestasis,1,ipsen,ipsen,6,NA,0,0.26075,0.67875,0.40075000000000005,0.4,0.0,0.3594,0
NCT00648024,Fasting Study of Anagrelide Hydrochloride Capsules 1 mg to Agrylin® Capsules 1 mg,Mylan Pharmaceuticals Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,47.0,2003-01,COMPLETED,Healthy,1,mylan,mylan,5,PHASE1,0,0.26075,0.31475,0.41425,0.3,0.0,0.312725,0
NCT01324323,Influence of Rifampin on the Pharmacokinetics of Romidepsin in Patients With Advanced Cancer,Celgene,INDUSTRY,,0,PHASE1,INTERVENTIONAL,14.0,2011-04-01,COMPLETED,Hematologic Malignancy; Malignant Lymphoma,3,bms,bms,28,PHASE1,1,0.531,0.07425,0.25275000000000003,0.3,1.0,0.37673749999999995,0
NCT01285323,A Study to Evaluate the Efficacy and Safety of Reslizumab in Patients With Eosinophilic Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,,0,PHASE3,INTERVENTIONAL,464.0,2011-03,COMPLETED,Eosinophilic Asthma,104,teva branded pharmaceutical products r and d,teva branded pharmaceutical products r and d,7,PHASE3,0,0.9605,0.84375,0.38425,1.0,0.0,0.7050375,0
NCT00648180,Food Study of Doxycycline Monohydrate Tablets 100 mg and Adoxa Tablets 100 mg,Mylan Pharmaceuticals Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,36.0,2005-07,COMPLETED,Healthy,1,mylan,mylan,5,PHASE1,0,0.26075,0.252,0.41425,0.3,0.0,0.30644999999999994,0
NCT07018180,Interventional Clinical Trial Evaluating COVER PATCH CAPTEUR PROTECT Support Solutions for Continuous Glucose Monitoring Sensors in Patients With Diabetes,CAPTEUR PROTECT,INDUSTRY,Icadom,1,,INTERVENTIONAL,194.0,2025-12-05,RECRUITING,Diabetes,7,capteur protect,capteur protect,1,NA,0,0.6405,0.6685,0.802,0.4,0.0,0.6317250000000001,0
NCT02044380,Afatinib in Patients With Non Small Cell Lung Cancer (NSCLC) With Epidermal Growth Factor Receptor (EGFR) Mutations,Boehringer Ingelheim,INDUSTRY,,0,PHASE3,INTERVENTIONAL,14.0,2014-03,COMPLETED,"Carcinoma, Non-Small-Cell Lung",5,boehringer,boehringer,44,PHASE3,1,0.59925,0.07425,0.14575000000000005,1.0,1.0,0.46817499999999995,0
NCT03604380,STATE Trial: SusTained Attention Training to Enhance Sleep - Remote,Posit Science Corporation,INDUSTRY,,0,,INTERVENTIONAL,134.0,2018-07-10,COMPLETED,Insomnia Chronic,1,posit,posit,1,NA,0,0.26075,0.5925,0.802,0.4,0.0,0.4912125,0
NCT00623480,Trial to Evaluate the Effect of Secondary Prophylaxis With rFVIII Therapy in Severe Hemophilia A Adult and/or Adolescent Subjects Compared to That of Episodic Treatment,Bayer,INDUSTRY,,0,PHASE3,INTERVENTIONAL,84.0,2008-03,COMPLETED,Hemophilia A,38,bayer,bayer,30,PHASE3,0,0.8675,0.4725,0.23075,1.0,0.0,0.5816375,0
NCT06309979,A Study to Assess Growth in Children With Idiopathic Short Stature,BioMarin Pharmaceutical,INDUSTRY,,0,,OBSERVATIONAL,300.0,2024-08-08,RECRUITING,Idiopathic Short Stature,38,biomarin,biomarin,2,NA,0,0.8675,0.76075,0.5527500000000001,0.4,0.0,0.6331625000000001,0
NCT02360579,"Study of Lifileucel (LN-144), Autologous Tumor Infiltrating Lymphocytes, in the Treatment of Patients With Metastatic Melanoma","Iovance Biotherapeutics, Inc.",INDUSTRY,,0,PHASE2,INTERVENTIONAL,220.0,2015-09-24,COMPLETED,Metastatic Melanoma,57,iovance biotherapeutics,iovance biotherapeutics,1,PHASE2,0,0.91375,0.6995,0.802,0.6,0.0,0.7604624999999999,0
NCT01726179,Efficacy of Proximal Caries Infiltration,DMG Dental Material Gesellschaft mbH,INDUSTRY,Universidade Federal do Rio de Janeiro; Rio de Janeiro State Research Supporting Foundation (FAPERJ),2,,INTERVENTIONAL,50.0,2013-12,COMPLETED,Dental Health; Caries,1,dmg dental material gesellschaft mbh,dmg dental material gesellschaft mbh,1,NA,0,0.26075,0.3365,0.802,0.4,0.0,0.4656125,0
NCT01419379,"This is a Multicenter, Prospective and Retrospective and Descriptive Epidemiology Study in Patients With Chronic Obstructive Pulmonary Disease (COPD) in Korea",Takeda,INDUSTRY,,0,,OBSERVATIONAL,1118.0,2011-07,COMPLETED,COPD,14,takeda,takeda,25,NA,0,0.741,0.936,0.27225,0.4,0.0,0.5082374999999999,0
NCT05216679,Novel Stretching Device Versus Night Splints,SAE Orthopedics,INDUSTRY,,0,,INTERVENTIONAL,100.0,2026-04-15,RECRUITING,Plantar Fasciitis,1,sae orthopedics,sae orthopedics,1,NA,0,0.26075,0.5205,0.802,0.4,0.0,0.4840125,0
NCT00523796,InPractice Survey on the Treatment of Hypercholesterolemia,AstraZeneca,INDUSTRY,,0,,OBSERVATIONAL,2500.0,2007-02,COMPLETED,Hypercholesterolemia,1,astrazeneca,astrazeneca,83,NA,0,0.26075,0.9715,0.020499999999999963,0.4,0.0,0.25558749999999997,0
NCT01798979,"A Phase I, Open Interaction Study Between GLPG0634 and Midazolam in Healthy Subjects",Lakefront Biotherapeutics NV,INDUSTRY,,0,PHASE1,INTERVENTIONAL,20.0,2013-02,COMPLETED,Healthy,1,lakefront biotherapeutics,lakefront biotherapeutics,5,PHASE1,0,0.26075,0.118,0.41425,0.3,0.0,0.29305,0
NCT06619496,Health in Motion Pragmatic Clinical Trial - WRAPAROUND,Blue Marble Rehab Inc,INDUSTRY,National Institute on Aging (NIA); Partners In Care Foundation,2,,INTERVENTIONAL,63.0,2022-10-24,COMPLETED,Aging,1,blue marble rehab,blue marble rehab,1,NA,0,0.26075,0.4045,0.802,0.4,0.0,0.47241249999999996,0
NCT02482324,Phase 1 Study of ALZT-OP1 Combination Therapy in Normal Healthy Volunteers,"AZTherapies, Inc.",INDUSTRY,Panax Clinical Research; Pharma Consulting Group AB; KCAS,3,PHASE1,INTERVENTIONAL,26.0,2015-06,COMPLETED,Healthy Volunteers,1,aztherapies,aztherapies,1,PHASE1,0,0.26075,0.1705,0.802,0.3,0.0,0.43401249999999997,0
NCT02219724,A Study to Assess Safety and Pharmacokinetics of MOXR0916 in Participants With Locally Advanced or Metastatic Solid Tumors,"Genentech, Inc.",INDUSTRY,,0,PHASE1,INTERVENTIONAL,174.0,2014-08-12,COMPLETED,Neoplasms,31,roche,roche,43,PHASE1,0,0.841,0.64025,0.16749999999999998,0.3,0.0,0.4619999999999999,0
NCT06275724,Specified Drug-use Survey of Leqvio for s.c. Injection.,Novartis Pharmaceuticals,INDUSTRY,,0,,OBSERVATIONAL,585.0,2024-03-04,ACTIVE_NOT_RECRUITING,Familial Hypercholesterolaemia; Hypercholesterolaemia,107,novartis,novartis,53,NA,0,0.9645,0.87475,0.12150000000000005,0.4,0.0,0.5275750000000001,0
NCT00666224,Evaluate Early Glatiramer Acetate Treatment in Delaying Conversion to Clinically Definite Multiple Sclerosis of Subjects Presenting With Clinically Isolated Syndrome,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,,0,PHASE3,INTERVENTIONAL,481.0,2004-01,COMPLETED,Multiple Sclerosis,0,teva branded pharmaceutical products r and d,teva branded pharmaceutical products r and d,7,PHASE3,0,0.03475,0.85175,0.38425,1.0,0.0,0.38182499999999997,0
NCT03362723,A Study to Investigate the Bioequivalence or Relative Bioavailability of Three New Idasanutlin Tablet Variants Following Oral Administration in Participants With Solid Tumors,Hoffmann-La Roche,INDUSTRY,,0,PHASE1,INTERVENTIONAL,48.0,2017-11-27,COMPLETED,Solid Tumors,11,roche,roche,43,PHASE1,1,0.70025,0.32175,0.16749999999999998,0.3,1.0,0.4308874999999999,0
NCT03821480,Diflucan Bioequivalence Study For Transferring The Manufacture,Pfizer,INDUSTRY,,0,PHASE1,INTERVENTIONAL,28.0,2019-01-28,COMPLETED,Bioequivalence,1,pfizer,pfizer,58,PHASE1,0,0.26075,0.18275,0.09375,0.3,0.0,0.18734999999999996,0
NCT02761980,A Study of Ibuprofen 250 mg / Acetaminophen 500 mg Comparing The Antipyretic Effects in Healthy Male Volunteers,Pfizer,INDUSTRY,,0,PHASE3,INTERVENTIONAL,290.0,2016-12-06,COMPLETED,Fever,1,pfizer,pfizer,58,PHASE3,0,0.26075,0.753,0.09375,1.0,0.0,0.349375,0
NCT00679380,(CB-01-02/02) Randomized Placebo Controlled Trial of Budesonide-multi-matrix System (MMX™) 6 mg and 9 mg in Patients With Ulcerative Colitis,"Bausch Health Americas, Inc.",INDUSTRY,Cosmo Technologies Ltd,1,PHASE3,INTERVENTIONAL,514.0,2008-06,COMPLETED,Ulcerative Colitis,71,bausch health americas,bausch health americas,1,PHASE3,0,0.934,0.8625,0.802,1.0,0.0,0.8438500000000001,0
NCT05735080,"Open-Label Study to Evaluate the Safety, Tolerability, PK, and Efficacy of INX-315 in Patients With Advanced Cancer",Incyclix Bio,INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,150.0,2023-03-28,RECRUITING,Breast Cancer; Breast Cancer Metastatic; Hormone Receptor Positive Tumor; Human Epidermal Growth Factor 2 Negative Carcinoma of Breast; Ovarian Cancer; CCNE1 Amplification; Solid Tumor; Advanced Cancer; Metastatic Cancer,18,incyclix bio,incyclix bio,1,PHASE1,1,0.77375,0.61025,0.802,0.3,1.0,0.7075375,0
NCT01048580,Study of Perifosine + Capecitabine for Colon Cancer Patients,AEterna Zentaris,INDUSTRY,"SCRI Development Innovations, LLC",1,PHASE1,INTERVENTIONAL,10.0,2009-10,COMPLETED,Colon Cancer,0,aeterna zentaris,aeterna zentaris,1,PHASE1,0,0.03475,0.04075,0.802,0.3,0.0,0.3419375,1
NCT01489696,A Study to Evaluate Cardiovascular Interactions Between Mirabegron and Tamsulosin,Astellas Pharma Inc,INDUSTRY,,0,PHASE1,INTERVENTIONAL,48.0,2010-08,COMPLETED,Cardiovascular; Healthy Subjects; Pharmacokinetics,1,astellas,astellas,9,PHASE1,0,0.26075,0.32175,0.34424999999999994,0.3,0.0,0.28892499999999993,0
NCT02555696,Abraxane in Treatment of Metastatic Breast Cancer,Celgene,INDUSTRY,,0,,OBSERVATIONAL,203.0,2012-05-31,COMPLETED,Metastatic Breast Cancer,13,bms,bms,28,NA,0,0.7295,0.684,0.25275000000000003,0.4,0.0,0.47218750000000004,0
NCT03192696,Pantheris Atherectomy Treatment of In-Stent Restenosis In Lower Extremity Arteries,"Avinger, Inc.",INDUSTRY,,0,,INTERVENTIONAL,127.0,2017-10-19,COMPLETED,Peripheral Arterial Disease,12,avinger,avinger,1,NA,0,0.716,0.5805,0.802,0.4,0.0,0.6493500000000001,0
NCT00938496,Non-Interventional Study of Zoladex in Endometriosis,AstraZeneca,INDUSTRY,,0,,OBSERVATIONAL,408.0,2009-07,COMPLETED,Endometriosis,11,astrazeneca,astrazeneca,83,NA,0,0.70025,0.82075,0.020499999999999963,0.4,0.0,0.3943375,0
NCT04736082,Safety of an Infant Formula With Hydrolysed Protein in Term Infants,HiPP GmbH & Co. Vertrieb KG,INDUSTRY,"Waldkrankenhaus Protestant Hospital, Spandau; Biofortis, Merieux NutriSciences; HungaroTrial",3,,INTERVENTIONAL,360.0,2021-03-16,COMPLETED,Growth,1,hipp gmbh and co vertrieb kg,hipp gmbh and co vertrieb kg,1,NA,0,0.26075,0.79525,0.802,0.4,0.0,0.5114875,0
NCT06564324,A Phase III Study Comparing Taletrectinib With Standard Therapy in ROS1 Positive Locally Advanced or Metastatic Non-small Cell Lung Cancer Patients,Nuvation Bio Inc.,INDUSTRY,,0,PHASE3,INTERVENTIONAL,194.0,2024-11-27,RECRUITING,Non Small Cell Lung Cancer,29,nuvation bio,nuvation bio,1,PHASE3,0,0.83075,0.6685,0.802,1.0,0.0,0.7883125000000001,0
NCT00943124,MK0524B Bioequivalence Study (0524B-070),Merck Sharp & Dohme LLC,INDUSTRY,,0,PHASE1,INTERVENTIONAL,220.0,2007-07,COMPLETED,Dyslipidemia,0,merck,merck,35,PHASE1,0,0.03475,0.6995,0.20699999999999996,0.3,0.0,0.19956249999999998,0
NCT02494323,Evaluation of Dual Channel vs. Single Channel FES for Dropfoot,Bioness Neuromodulation,INDUSTRY,Loewenstein Hospital,1,,INTERVENTIONAL,70.0,2015-03,COMPLETED,Dropfoot,1,bioness neuromodulation,bioness neuromodulation,1,NA,0,0.26075,0.42475,0.802,0.4,0.0,0.4744375,0
NCT00002123,"A Double-Blind, Randomized, Comparative Study of Delavirdine Mesylate (U-90152S) in Combination With Didanosine (ddI) Versus ddI Alone in HIV-1 Infected Individuals With CD4 Counts of <= 300/mm3",Pharmacia and Upjohn,INDUSTRY,,0,PHASE3,INTERVENTIONAL,0.0,,COMPLETED,HIV Infections,84,pharmacia and upjohn,pharmacia and upjohn,2,PHASE3,0,0.9465,0.00475,0.5527500000000001,1.0,0.0,0.6752125,0
NCT00987623,Clinical Evaluation of Two Daily Disposable Lenses in Neophytes,CIBA VISION,INDUSTRY,,0,,INTERVENTIONAL,326.0,2009-08,COMPLETED,Myopia,1,ciba vision,ciba vision,2,NA,0,0.26075,0.77875,0.5527500000000001,0.4,0.0,0.42260000000000003,0
NCT05384080,A Study in Adults With Ulcerative Colitis (UC) or Crohn's Disease (CD) Receiving Vedolizumab in Real-World Practice in Poland,Takeda,INDUSTRY,,0,,OBSERVATIONAL,165.0,2022-08-08,COMPLETED,Inflammatory Bowel Disease (IBD); Crohn's Disease; Ulcerative Colitis,11,takeda,takeda,25,NA,0,0.70025,0.6325,0.27225,0.4,0.0,0.463625,0
NCT03920280,Clinical Evaluation of a Daily Wear Frequent Replacement Silicone Hydrogel Lens,Alcon Research,INDUSTRY,,0,,INTERVENTIONAL,120.0,2019-05-22,COMPLETED,Refractive Errors,8,alcon,alcon,11,NA,0,0.657,0.5675,0.32025000000000003,0.4,0.0,0.4587875,0
NCT02901080,Clinical and Cost Effectiveness of Alpha-Stim AID CES,"Electromedical Products International, Inc.",INDUSTRY,,0,,INTERVENTIONAL,161.0,2016-08-11,COMPLETED,Anxiety,1,electromedical products,electromedical products,1,NA,0,0.26075,0.6275,0.802,0.4,0.0,0.4947125,0
NCT01028079,"Placebo and Active Controlled, Double Dummy Study to Prove Efficacy of Aspirin in Treatment of Acute Low Back Pain",Bayer,INDUSTRY,,0,PHASE3,INTERVENTIONAL,338.0,2005-11,COMPLETED,Low Back Pain,13,bayer,bayer,30,PHASE3,0,0.7295,0.78425,0.23075,1.0,0.0,0.5645125000000001,0
NCT04993079,Clotild® Smart Guidewire System (CSGS) Evaluation in EndovascUlar Thrombectomy Procedure,Sensome,INDUSTRY,,0,,INTERVENTIONAL,45.0,2021-08-26,COMPLETED,Stroke,3,sensome,sensome,1,NA,0,0.531,0.308,0.802,0.4,0.0,0.55735,0
NCT03551496,The DES BTK Vascular Stent System vs PTA in Subjects With Critical Limb Ischemia,Boston Scientific Corporation,INDUSTRY,,0,PHASE3,INTERVENTIONAL,201.0,2018-08-31,COMPLETED,Critical Limb Ischemia,42,boston scientific,boston scientific,11,PHASE3,0,0.88025,0.6825,0.32025000000000003,1.0,0.0,0.638425,0
NCT00040313,Pegaptanib Sodium Compared to Sham Injection in Patients With DME Involving the Center of the Macula,Eyetech Pharmaceuticals,INDUSTRY,,0,PHASE2,INTERVENTIONAL,0.0,2002-10,COMPLETED,Diabetic Macular Edema,0,eyetech,eyetech,1,PHASE2,0,0.03475,0.00475,0.802,0.6,0.0,0.3833375,0
NCT01435460,Alrex® Versus Patanol in the Treatment of Seasonal Allergic Conjunctivitis(SAC),Bausch & Lomb Incorporated,INDUSTRY,,0,PHASE3,INTERVENTIONAL,300.0,2010-08,COMPLETED,Seasonal Allergic Conjunctivitis,1,bausch and lomb incorporated,bausch and lomb incorporated,6,PHASE3,0,0.26075,0.76075,0.40075000000000005,1.0,0.0,0.4576,0
NCT00530660,Safety and Immunogenicity Study of a Booster Vaccination With a Non-Adjuvanted H5N1 Influenza Vaccine (Follow Up to Study 810501),"Alachua Government Services, Inc.",INDUSTRY,,0,PHASE2,INTERVENTIONAL,141.0,2007-09,COMPLETED,Influenza,1,alachua government services,alachua government services,3,PHASE2,0,0.26075,0.602,0.47650000000000003,0.6,0.0,0.40823750000000003,0
NCT03731260,"(PIONEER) Study to Evaluate Efficacy and Safety of Avapritinib (BLU-285), A Selective KIT Mutation-targeted Tyrosine Kinase Inhibitor, Versus Placebo in Patients With Indolent Systemic Mastocytosis",Blueprint Medicines Corporation,INDUSTRY,,0,PHASE2,INTERVENTIONAL,251.0,2019-04-16,ACTIVE_NOT_RECRUITING,Indolent Systemic Mastocytosis,49,blueprint medicines,blueprint medicines,1,PHASE2,0,0.8965,0.72875,0.802,0.6,0.0,0.75735,0
NCT02755220,Cingularbio® Heart Valve Clincial Study,Shanghai Cingularbio Co. Ltd,INDUSTRY,,0,,INTERVENTIONAL,197.0,2016-01,COMPLETED,Diseases of Mitral and Aortic Valves,5,shanghai cingularbio,shanghai cingularbio,1,NA,0,0.59925,0.67125,0.802,0.4,0.0,0.6175625,0
NCT00937820,Prevention of Recurrence of Venous Thromboembolism in Patients With a History of Venous Thromboembolism,Astellas Pharma Inc,INDUSTRY,,0,PHASE3,INTERVENTIONAL,87.0,2009-06,COMPLETED,Venous Thromboembolism,5,astellas,astellas,9,PHASE3,0,0.59925,0.48025,0.34424999999999994,1.0,0.0,0.5282499999999999,0
NCT03316820,Bioavailability Study of K0706 in Healthy Subjects,Sun Pharma Advanced Research Company Limited,INDUSTRY,,0,PHASE1,INTERVENTIONAL,24.0,2017-10-28,COMPLETED,Healthy,1,sun pharma advanced,sun pharma advanced,2,PHASE1,0,0.26075,0.15325,0.5527500000000001,0.3,0.0,0.34504999999999997,0
NCT00884520,"An Exploratory, Open Label, Multi-Center, Non-Randomized Study of [F-18]VM4-037",Siemens Molecular Imaging,INDUSTRY,,0,EARLY_PHASE1,INTERVENTIONAL,16.0,2009-04,COMPLETED,Lung Cancer; Squamous Cell Carcinoma; Head and Neck Cancer; Hepatic Carcinoma; Renal Cell Carcinoma,1,siemens molecular imaging,siemens molecular imaging,1,EARLY_PHASE1,1,0.26075,0.0875,0.802,0.4,1.0,0.4907125,0
NCT04079920,Predictors of Response to Tofacitinib Treatment in Rheumatoid Arthritis Patients,Pfizer,INDUSTRY,,0,,OBSERVATIONAL,198.0,2020-09-22,COMPLETED,Rheumatoid Arthritis,18,pfizer,pfizer,58,NA,0,0.77375,0.673,0.09375,0.4,0.0,0.43092500000000006,0
NCT01794520,Study Evaluating ABT-199 in Participants With Relapsed or Refractory Multiple Myeloma,AbbVie,INDUSTRY,"Genentech, Inc.",1,PHASE1; PHASE2,INTERVENTIONAL,117.0,2012-10-10,COMPLETED,Relapsed/Refractory Multiple Myeloma,29,abbvie,abbvie,25,PHASE1,0,0.83075,0.561,0.27225,0.3,0.0,0.4871499999999999,0
NCT01538420,GLPG0492 Pharmacodynamics,Lakefront Biotherapeutics NV,INDUSTRY,,0,PHASE1,INTERVENTIONAL,26.0,2012-01,COMPLETED,Healthy,1,lakefront biotherapeutics,lakefront biotherapeutics,5,PHASE1,0,0.26075,0.1705,0.41425,0.3,0.0,0.29829999999999995,0
NCT01031082,Study to Identify and Characterize Bacteria Causing Acute Otitis Media in South African Children,GlaxoSmithKline,INDUSTRY,,0,,OBSERVATIONAL,265.0,2009-05,COMPLETED,Acute Otitis Media,1,gsk,gsk,76,NA,0,0.26075,0.73975,0.060250000000000026,0.4,0.0,0.246325,0
NCT03495882,"A Study of Zalifrelimab and Balstilimab for Treatment of Participants With Metastatic or Locally Advanced Solid Tumors, and Expansion Into Select Solid Tumors (Cervical)",Agenus Inc.,INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,175.0,2017-12-18,COMPLETED,Cervical Cancer,47,agenus,agenus,2,PHASE1,0,0.8915,0.64175,0.5527500000000001,0.3,0.0,0.6146625,0
NCT05019924,An Exploratory Investigation of Dietary Supplementation and the Effect on Common PMS and Menstrual Symptoms,Semaine Health,INDUSTRY,Citruslabs,1,,INTERVENTIONAL,58.0,2021-08-01,COMPLETED,Menstrual Pain; Menstrual Discomfort,1,semaine,semaine,1,NA,0,0.26075,0.37225,0.802,0.4,0.0,0.4691875,0
NCT05083923,A Study of Diroximel Fumarate (DRF) in Adult Participants From the Asia-Pacific Region With Relapsing Forms of Multiple Sclerosis (RMS),Biogen,INDUSTRY,,0,PHASE3,INTERVENTIONAL,136.0,2021-11-18,COMPLETED,Relapsing Forms of Multiple Sclerosis,52,biogen,biogen,7,PHASE3,0,0.90425,0.5955,0.38425,1.0,0.0,0.6605249999999999,0
NCT04255459,Post-Market Surveillance of Tobacco Products,RAI Services Company,INDUSTRY,,0,,INTERVENTIONAL,320.0,2010-02-13,COMPLETED,"Smoking, Tobacco; Smoking Behaviors",6,rai services,rai services,2,NA,0,0.62275,0.77525,0.5527500000000001,0.4,0.0,0.54895,0
NCT02471859,"A Safety, Tolerability, and Pharmacokinetic Study of GDC-3280 in Healthy Participants","Genentech, Inc.",INDUSTRY,,0,PHASE1,INTERVENTIONAL,8.0,2015-06,COMPLETED,Healthy Volunteer,1,roche,roche,43,PHASE1,0,0.26075,0.03,0.16749999999999998,0.3,0.0,0.1978875,0
NCT05860959,SUBLOCADE Long-term Outcomes,Indivior Inc.,INDUSTRY,,0,,OBSERVATIONAL,480.0,2023-08-31,COMPLETED,Opioid Use Disorder,49,indivior,indivior,3,NA,0,0.8965,0.85025,0.47650000000000003,0.4,0.0,0.625575,0
NCT06229080,Short-term Embolization Using Gelatin Particles for FloW ModulAtion During Y90 Radioembolization,"Next Biomedical Co., Ltd.",INDUSTRY,,0,,INTERVENTIONAL,20.0,2023-03-15,COMPLETED,Liver Cancer (Primary and Metastatic),1,next biomedical,next biomedical,1,NA,0,0.26075,0.118,0.802,0.4,0.0,0.4437625,0
NCT05337280,OA for Breast Cancer NAC Response,Seno Medical Instruments Inc.,INDUSTRY,American College of Radiology,1,,INTERVENTIONAL,20.0,2021-03-30,COMPLETED,Breast Cancer,1,seno medical instruments,seno medical instruments,1,NA,0,0.26075,0.118,0.802,0.4,0.0,0.4437625,0
NCT03439280,"A Study to Investigate the Safety, Tolerability, Efficacy, Pharmacokinetics, and Immunogenicity of TAK-079 Administered Subcutaneously as a Single Agent in Participants With Relapsed/Refractory (r/r) Multiple Myeloma (MM)","Millennium Pharmaceuticals, Inc.",INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,50.0,2018-04-20,COMPLETED,Relapsed/Refractory; Multiple Myeloma,7,takeda,takeda,25,PHASE1,0,0.6405,0.3365,0.27225,0.3,0.0,0.3981124999999999,0
NCT00002079,Phase II Study of the Safety and Surrogate Marker Efficacy of Butyldeoxynojirimycin (SC-48334) and AZT in Symptomatic HIV-1 Infected Patients With 200 - 500 CD4+ Cells/mm3. (NOTE: Asymptomatic HIV-1 Infected Patients Also Eligible),G D Searle,INDUSTRY,,0,PHASE2,INTERVENTIONAL,0.0,,COMPLETED,HIV Infections,9,g d searle,g d searle,1,PHASE2,0,0.66975,0.00475,0.802,0.6,0.0,0.6055875,0
NCT00721396,"Safety, Tolerability and Immunogenicity of Meningococcal B Recombinant Vaccine Administered With or Without Routine Infant Vaccinations to Healthy Infants According to Different Immunization Schedules",Novartis Vaccines,INDUSTRY,,0,PHASE2,INTERVENTIONAL,1885.0,2008-08,COMPLETED,Meningococcal Infections,60,novartis vaccines,novartis vaccines,2,PHASE2,0,0.9185,0.9635,0.5527500000000001,0.6,0.0,0.7012875,0
NCT02489279,Training Attentional Awareness and Control in ADHD,Think Now Incorporated,INDUSTRY,National Institute of Mental Health (NIMH),1,,INTERVENTIONAL,107.0,2015-06,COMPLETED,Attention Deficit Hyperactivity Disorder,1,think now incorporated,think now incorporated,1,NA,0,0.26075,0.54175,0.802,0.4,0.0,0.4861375,0
NCT00359762,Exenatide Versus Glimepiride in Patients With Type 2 Diabetes,AstraZeneca,INDUSTRY,Eli Lilly and Company,1,PHASE3,INTERVENTIONAL,1029.0,2006-09,COMPLETED,Type 2 Diabetes Mellitus,114,astrazeneca,astrazeneca,83,PHASE3,0,0.96725,0.932,0.020499999999999963,1.0,0.0,0.5889125,0
NCT00922610,A Study of Mircera in Renal Anemia Among Filipino Chronic Kidney Disease Patients,Hoffmann-La Roche,INDUSTRY,,0,PHASE4,INTERVENTIONAL,28.0,2009-02,COMPLETED,Anemia,5,roche,roche,43,PHASE4,0,0.59925,0.18275,0.16749999999999998,0.5,0.0,0.36163749999999995,0
NCT00241410,"Safety, Immunological Effect and Efficacy of the Combined Application of MPL and Grass Pollen Allergen",Allergy Therapeutics,INDUSTRY,,0,PHASE1,INTERVENTIONAL,86.0,2005-12,COMPLETED,Type I Hypersensitivity,1,allergy,allergy,1,PHASE1,0,0.26075,0.478,0.802,0.3,0.0,0.46476249999999997,0
NCT01482910,VEGF Trap-Eye: Investigation of Efficacy and Safety in Chinese Subjects With Wet AMD (Age-Related Macular Degeneration),Bayer,INDUSTRY,Regeneron Pharmaceuticals,1,PHASE3,INTERVENTIONAL,304.0,2011-12,COMPLETED,Macular Degeneration,14,bayer,bayer,30,PHASE3,1,0.741,0.76575,0.23075,1.0,1.0,0.6166875,0
NCT00868413,Study of ABT-263 When Administered in Combination With Either Fludarabine/Cyclophosphamide/Rituximab or Bendamustine/Rituximab in Relapsed or Refractory Chronic Lymphocytic Leukemia,"AbbVie (prior sponsor, Abbott)",INDUSTRY,"Genentech, Inc.",1,PHASE1,INTERVENTIONAL,32.0,2009-11,COMPLETED,Chronic Lymphocytic Leukemia,6,abbvie prior sponsor abbott,abbvie prior sponsor abbott,9,PHASE1,1,0.62275,0.22675,0.34424999999999994,0.3,1.0,0.45612499999999995,0
NCT03654313,Single and Multiple Ascending Doses of MEDI6570 in Subjects With Type 2 Diabetes Mellitus,MedImmune LLC,INDUSTRY,,0,PHASE1,INTERVENTIONAL,88.0,2018-09-28,COMPLETED,Atherosclerosis; Cardiovascular Disease,9,astrazeneca,astrazeneca,83,PHASE1,0,0.66975,0.48275,0.020499999999999963,0.3,0.0,0.33486249999999995,0
NCT01101360,Port Wine Stains Treatment Matrix RF Study,Syneron Medical,INDUSTRY,,0,,INTERVENTIONAL,10.0,2010-03,COMPLETED,Port Wine Stains,1,syneron,syneron,1,NA,0,0.26075,0.04075,0.802,0.4,0.0,0.43603749999999997,0
