nct_id,title,sponsor_name,sponsor_class,collaborators,n_collaborators,phase,study_type,enrollment,start_date,overall_status,conditions,n_sites,sponsor_clean,sponsor_final,sponsor_trial_count,phase_simple,complex_ta,c_sites,c_enroll,c_smallspon,c_latephase,c_complex,outsourcing_score,known_cro
NCT02112890,"Study to Assess Seroprevalence of Hepatitis A, Hepatitis B and Bordetella Pertussis in Mexico",GlaxoSmithKline,INDUSTRY,,0,,OBSERVATIONAL,1603.0,2014-12-10,COMPLETED,Hepatitis A; Viral Hepatitis Vaccines,1,gsk,gsk,76,NA,0,0.26075,0.957,0.060250000000000026,0.4,0.0,0.26805,0
NCT06037590,A Pilot Comparative Bioavailability Study of Levodopa Administered Via Levodopa Cyclops® Relative to INBRIJA®,PureIMS B.V.,INDUSTRY,Cooperative Clinical Drug Research and Development AG (CCDRD AG),1,PHASE1,INTERVENTIONAL,26.0,2023-09-25,COMPLETED,Parkinson; Parkinson Disease; Parkinson's Disease and Parkinsonism,1,pureims b v,pureims b v,1,PHASE1,0,0.26075,0.1705,0.802,0.3,0.0,0.43401249999999997,0
NCT01348490,"Ruxolitinib (INCB018424) in Participants With Primary Myelofibrosis (PMF), Post Essential Thrombocythemia-myelofibrosis and Post Polycythemia Vera-myelofibrosis (PPV-MF)",Incyte Corporation,INDUSTRY,,0,PHASE2,INTERVENTIONAL,66.0,2011-06-15,COMPLETED,MPN (Myeloproliferative Neoplasms),38,incyte,incyte,9,PHASE2,0,0.8675,0.41625,0.34424999999999994,0.6,0.0,0.5557375,0
NCT06656897,Preliminary Clinical Trial- FallScape-D,Brookside Research & Development Company,INDUSTRY,National Institute on Aging (NIA),1,EARLY_PHASE1,INTERVENTIONAL,24.0,2024-03-12,ACTIVE_NOT_RECRUITING,Falls,1,brookside research and,brookside research and,1,EARLY_PHASE1,0,0.26075,0.15325,0.802,0.4,0.0,0.4472875,0
NCT05594797,Human BCMA Targeted T Cells Injection（BCMA CAR-T）for Subjects With R/R MM,"Hrain Biotechnology Co., Ltd.",INDUSTRY,Shanghai Changzheng Hospital; First Affiliated Hospital of Wenzhou Medical University,2,PHASE2,INTERVENTIONAL,100.0,2022-07-12,RECRUITING,Multiple Myeloma,2,hrain biotechnology,hrain biotechnology,1,PHASE2,0,0.4805,0.5205,0.802,0.6,0.0,0.590925,0
NCT00631410,Study Of Sunitinib In Combination With Folfox In Patients With Colorectal Cancer,Pfizer,INDUSTRY,,0,PHASE1,INTERVENTIONAL,12.0,2008-01,COMPLETED,Colorectal Neoplasms,3,pfizer,pfizer,58,PHASE1,0,0.531,0.05925,0.09375,0.3,0.0,0.2695875,0
NCT03453060,Safety and Tolerability Study of E-WE Thrombin in Healthy Adult Subjects,"Aronora, Inc.",INDUSTRY,,0,PHASE1,INTERVENTIONAL,21.0,2018-05-30,COMPLETED,Thrombosis,1,aronora,aronora,1,PHASE1,0,0.26075,0.131,0.802,0.3,0.0,0.43006249999999996,0
NCT07734220,Evaluation of Two Heel Protection Devices to Assess Off-loading Via Pressure Mapping.,Medline Industries,INDUSTRY,,0,,OBSERVATIONAL,25.0,2026-07-08,COMPLETED,Pressure Injuries,1,medline industries,medline industries,2,NA,0,0.26075,0.16325,0.5527500000000001,0.4,0.0,0.36105,0
NCT04770220,An Efficacy and Safety Study of ALZ-801 in APOE4/4 Early AD Subjects,Alzheon Inc.,INDUSTRY,National Institute on Aging (NIA),1,PHASE3,INTERVENTIONAL,325.0,2021-05-19,COMPLETED,Early Alzheimer's Disease,95,alzheon,alzheon,1,PHASE3,0,0.9545,0.778,0.802,1.0,0.0,0.842575,0
NCT00202020,Efficacy and Safety Study of Cilostazol to Prevent Reoccurrence of Stroke,Otsuka Beijing Research Institute,INDUSTRY,"Zhejiang Otsuka Pharmaceutical Co., Ltd.",1,PHASE3,INTERVENTIONAL,720.0,2004-05,COMPLETED,Cerebral Infarction,12,otsuka beijing research institute,otsuka beijing research institute,3,PHASE3,0,0.716,0.90075,0.47650000000000003,1.0,0.0,0.65745,0
NCT06309420,Clinical Trial to Evaluate Efficacy and Safety of a Cryogenic Medical Device for Treatment of Common and Plantar Warts,Oystershell NV,INDUSTRY,,0,,INTERVENTIONAL,54.0,2019-11-07,COMPLETED,Warts,1,oystershell,oystershell,1,NA,0,0.26075,0.3575,0.802,0.4,0.0,0.4677125,0
NCT07231120,"A Phase I Clinical Study Evaluating the Safety, Tolerability, Pharmacokinetic Characteristics, and Preliminary Efficacy of SXRN Injection in Patients With Cancer Cachexia","Jiangsu Nutai Biologics Co., Ltd",INDUSTRY,"Jiangsu GQ Pharma Co., Ltd.",1,PHASE1,INTERVENTIONAL,54.0,2025-11-17,RECRUITING,Cachexia-Anorexia Syndrome; Solid Tumor Malignancies,1,jiangsu nutai biologics,jiangsu nutai biologics,1,PHASE1,1,0.26075,0.3575,0.802,0.3,1.0,0.5027125,0
NCT06604624,Semaglutide in Treatment of Obesity,"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",INDUSTRY,,0,PHASE3,INTERVENTIONAL,462.0,2024-09-20,COMPLETED,Weight Management,1,cspc baike shandong biopharmaceutical,cspc baike shandong biopharmaceutical,2,PHASE3,0,0.26075,0.84275,0.5527500000000001,1.0,0.0,0.519,0
NCT06655324,"A Study to Evaluate Safety, Tolerability, and Immunogenicity of V350A and V350B in Healthy Participants (V350-001).",Merck Sharp & Dohme LLC,INDUSTRY,,0,PHASE1,INTERVENTIONAL,250.0,2024-12-05,RECRUITING,Healthy,9,merck,merck,35,PHASE1,0,0.66975,0.72575,0.20699999999999996,0.3,0.0,0.42443749999999997,0
NCT03995524,Spasticity and Treatment Satisfaction Among Stroke Survivors,Ipsen,INDUSTRY,,0,,OBSERVATIONAL,30.0,2019-07-20,COMPLETED,Spasticity as Sequela of Stroke,1,ipsen,ipsen,6,NA,0,0.26075,0.205,0.40075000000000005,0.4,0.0,0.312025,0
NCT00648323,Evaluation Of The Efficacy And Safety Of The Doxasozin Gastrointestinal Therapeutic System (GITS) In Patients With Prostate Enlargement,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,,0,PHASE4,INTERVENTIONAL,80.0,2003-11,COMPLETED,Prostate,4,pfizer s upjohn has merged with mylan to form viatris,pfizer s upjohn has merged with mylan to form viatris,8,PHASE4,0,0.5685,0.45775,0.36575,0.5,0.0,0.4477625,0
NCT04878523,Investigation of the Efficacies of Multi Berries Juice on Anti Oxidant Effect and Improvement of Skin Conditions,"TCI Co., Ltd.",INDUSTRY,,0,,INTERVENTIONAL,40.0,2020-11-09,COMPLETED,Skin Condition; Anti Oxidative Stress,1,tci co,tci co,2,NA,0,0.26075,0.279,0.5527500000000001,0.4,0.0,0.372625,0
NCT01433523,House Dust Mite Treatment of Asthma. The MITRA Trial House Dust Mite Treatment of Asthma,ALK-Abelló A/S,INDUSTRY,Ergomed; ACM Pivotal Global Central Laboratory,2,PHASE3,INTERVENTIONAL,834.0,2011-08,COMPLETED,Asthma,1,alk abelló,alk abelló,1,PHASE3,0,0.26075,0.9135,0.802,1.0,0.0,0.6133125,0
NCT00069459,Seasonal Affective Depression (SAD) Study,GlaxoSmithKline,INDUSTRY,,0,PHASE1,INTERVENTIONAL,250.0,2003-09-23,COMPLETED,Depressive Disorder,48,gsk,gsk,76,PHASE1,0,0.894,0.72575,0.060250000000000026,0.3,0.0,0.45156250000000003,0
NCT03852459,Controlled Study to Assess the Efficacy and Safety of S-Ibuprofen Topical Gel 5% (AP0302) in the Treatment of DOMS,"Aponia Laboratories, Inc.",INDUSTRY,,0,PHASE2,INTERVENTIONAL,251.0,2018-01-12,COMPLETED,"Pain, Acute",1,aponia,aponia,1,PHASE2,0,0.26075,0.72875,0.802,0.6,0.0,0.5348375,0
NCT06209580,AMT-253 in Patients With Advanced Solid Tumours,Multitude Therapeutics Inc.,INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,96.0,2024-01-31,RECRUITING,Malignant Melanoma; Advanced Solid Tumors,1,multitude,multitude,1,PHASE1,1,0.26075,0.50525,0.802,0.3,1.0,0.5174875,0
NCT03214380,A Study of LY900014 Compared to Insulin Lispro in Participants With Type 2 Diabetes,Eli Lilly and Company,INDUSTRY,,0,PHASE3,INTERVENTIONAL,933.0,2017-07-14,COMPLETED,Type 2 Diabetes Mellitus,141,eli lilly,eli lilly,40,PHASE3,0,0.97575,0.924,0.18825000000000003,1.0,0.0,0.6498,0
NCT01386580,"An Open-label, Phase I/IIa, Dose Escalating Study of 2B3-101 in Patients With Solid Tumors and Brain Metastases or Recurrent Malignant Glioma.",BBB-Therapeutics B.V.,INDUSTRY,,0,PHASE1; PHASE2,INTERVENTIONAL,84.0,2011-07,COMPLETED,Brain Metastases; Lung Cancer; Breast Cancer; Melanoma; Malignant Glioma,10,bbb therapeutics b v,bbb therapeutics b v,1,PHASE1,0,0.68375,0.4725,0.802,0.3,0.0,0.6122625,0
NCT06115980,Safety and Preliminary Performance of Xtrac O.S. System for Lead Extraction.,Xtrac O.S.,INDUSTRY,KCRI; Scopus Research,2,,INTERVENTIONAL,10.0,2023-08-27,RECRUITING,Bradycardia,1,xtrac o s,xtrac o s,1,NA,0,0.26075,0.04075,0.802,0.4,0.0,0.43603749999999997,0
NCT02385279,Study Comparing the MiStent SES Versus the XIENCE EES Stent,ECRI bv,INDUSTRY,Micell Technologies; Stentys,2,,INTERVENTIONAL,1398.0,2015-03-20,COMPLETED,Coronary Stenosis,20,ecri,ecri,1,NA,0,0.789,0.95025,0.802,0.4,0.0,0.711875,0
NCT00834379,Bioavailability Study of Pravastatin Sodium 40 mg Tablets Under Fasting Conditions,Teva Pharmaceuticals USA,INDUSTRY,,0,PHASE1,INTERVENTIONAL,58.0,2000-09,COMPLETED,Healthy,1,teva,teva,3,PHASE1,0,0.26075,0.37225,0.47650000000000003,0.3,0.0,0.34026249999999997,0
NCT00523679,Symbicort SMART (Symbicort Maintenance And Reliever Therapy),AstraZeneca,INDUSTRY,,0,,OBSERVATIONAL,2000.0,2007-07,COMPLETED,Asthma,3,astrazeneca,astrazeneca,83,NA,0,0.531,0.9665,0.020499999999999963,0.4,0.0,0.34967499999999996,0
NCT04028479,The Registry of Oncology Outcomes Associated With Testing and Treatment,Taproot Health,INDUSTRY,,0,,OBSERVATIONAL,167.0,2021-05-05,COMPLETED,"Adenocarcinoma; Adenocystic Carcinoma; Anal Cancer; Appendix Cancer; Brain Tumor; Glioblastoma; Astrocytoma; Bile Duct Cancer; Cholangiocarcinoma; Bladder Cancer; Bone Cancer; Synovial Sarcoma; Chondrosarcoma; Liposarcoma; Sarcoma, Kaposi; Sarcoma,Soft Tissue; Sarcoma; Osteosarcoma; CNS Cancer; Brain Stem Neoplasms; Breast Cancer; Cervical Cancer; Colorectal Cancer; Rectal Cancer; Colon Cancer; Esophageal Cancer; Esophagus Cancer; Cancer of Colon; Pancreatic Cancer; Cancer of Pancreas; Testis Cancer; Testicular Cancer; Ureter Cancer; Renal Cell Carcinoma; Kidney Cancer; Gestational Trophoblastic Tumor; Head and Neck Neoplasms; Parotid Tumor; Larynx Cancer; Tongue Cancer; Pharynx Cancer; Salivary Gland Cancer; Acute Myeloid Leukemia; Chronic Myeloid Leukemia; Acute Lymphoblastic Leukemia; Multiple Myeloma; Non Hodgkin Lymphoma; Carcinoid Tumor; Lung Cancer; Neuroendocrine Tumors; Mesothelioma; Thyroid Cancer; Parathyroid Neoplasms; Adrenal Cancer; Small Bowel Cancer; Stomach Cancer; Liver Cancer; Hepatic Cancer; Melanoma; Skin Cancer; Unknown Primary Tumors; Uterine Cancer; Fallopian Tube Cancer; Ovarian Cancer; Prostate Cancer; Vaginal Cancer; Penile Cancer; Vulvar Cancer; Waldenstrom Macroglobulinemia; Cancer, Advanced; Thymus Cancer; Nasopharyngeal Carcinoma; Multiple Endocrine Neoplasia; Pheochromocytoma; Small Cell Carcinoma; Pulmonary Carcinoma",2,taproot,taproot,1,NA,1,0.4805,0.63375,0.802,0.4,1.0,0.62225,0
NCT04492579,Newborns Supplemented With Gentle-UHT Donor Milk,"LactaLogics, Inc",INDUSTRY,Renown Regional Medical Center,1,,INTERVENTIONAL,31.0,2018-08-03,COMPLETED,Newborns; Breast Milk Expression,1,lactalogics,lactalogics,1,NA,0,0.26075,0.22,0.802,0.4,0.0,0.4539625,0
